000260049|null|PO BOX 92|HOSFORD|FL|32334-0092|2024|03|9|7200|196908|1|10|059029000|5|01|null|0|0|06|0|12|null|null|null|null|null
000360268|null|1445 N BOONVILLE AVE|SPRINGFIELD|MO|65802-1894|1678|03|9|7000|196408|1|10|001002029|5|01|null|0|0|06|0|12|null|null|null|null|null
000490336|null|PO BOX 296|LABELLE|FL|33975-0296|2024|03|9|7200|196908|1|10|059029000|5|01|null|0|0|06|0|12|null|null|null|null|null
002296179|null|4102 MARLBOROUGH|SAN DIEGO|CA|92105-1462|0000|03|3|7000|196204|1|10|001000000|1|01|null|0|0|06|0|03|null|null|null|null|null
003140260|null|217 N GRANT ST|SAN MATEO|CA|94401-1833|3125|03|9|7000|195504|1|10|001000000|5|01|null|0|0|06|0|12|null|null|null|null|1910
003754390|% TONY GARCIA|36511 MILE END RD|SOLEDAD|CA|93960-9689|3158|03|9|1000|196701|1|15|321059000|1|01|null|0|0|01|0|09|null|null|null|null|4050914 SOLEDAD LL
010104976|null|4050 KATELLA AVE STE 101|LOS ALAMITOS|CA|90720-3463|0000|03|3|1000|199507|1|10|001000000|1|01|null|0|0|06|0|12|null|null|null|X21Z|null
010137902|% STEVEN FELDMAN|1535 RUGBY CIR|THOUSAND OAKS|CA|91360-3534|1381|05|9|3000|195708|2|00|263264279|5|01|201612|0|0|02|0|12|0|0|0|null|L2006CA LA PROFESSIONAL MEDICAL EMP
010140283|% JAYNE PALMER|123 TESTING|SAN ANTONIO|TX|78251-0000|0000|13|3|1000|200809|1|00|900000000|1|01|201612|0|0|02|0|12|0|0|0|Y50|null
010265029|% THOMAS C PUCKETT|PO BOX 9531|BRECKENRIDGE|CO|80424-9012|0690|03|9|2000|194408|1|16|059908000|5|01|201412|0|0|02|0|12|0|0|0|null|MOUNT EVANS
010279698|% JODOIN|357 KIRKHILL ST|OCOEE|FL|34761-5645|0000|13|3|2000|200102|1|00|000000000|1|01|201612|4|3|01|0|12|386886|55853|55853|Y50|null
010303581|null|PO BOX 1860|CONROE|TX|77305-1860|0000|01|0|1000|000000|0|00|000000000|0|01|null|4|3|07|0|12|null|null|null|null|null
010345989|% CORP SERVICES|5390 VIRGINIA WAY|BRENTWOOD|TN|37027-7529|0190|07|9|1000|196109|2|00|036000000|5|01|201006|0|0|02|0|06|null|null|null|null|GAMMA CORPORATION
010359130|null|RR 3 BOX 289|MALVERY|AR|72104-9535|0000|03|3|0000|197903|1|10|001000000|5|01|null|0|0|06|0|06|null|null|null|null|null
