10000168395|18377-5	18378-3	18232-3	10488-1	10492-3|6
10000168396|18317-2	16696-6	11529-1	10492-3|8
10000338739|13415-6	19507-6	19517-3	11600-0	17829-1|8
10000413084|13297-0	13294-6	13818-5	12228-3	10894-4	17829-1|2
10000549504|11553-4	11653-0	11539-5	11731-6	17829-1|8
10000631417|16709-2	11812-6	10437-4	15635-3	18325-3	17983-5|8
10000658326|12072-1	10065-1	10145-3	16745-5	17374-2|1
10000669302|10894-4	11154-4	16336-1	17829-1|4
10000683167|18085-4	18810-3	13687-1	17374-2|9
10000683207|18879-2	17829-1|4
10000683878|19335-2	11728-2	11586-3	19037-3	17993-2	19336-0	19354-5	17983-5|8
10000856119|11313-3	11127-0	17181-6	16826-5	17175-1	17461-0	17177-4|4
10000963090|13325-0	17983-5|5
10000979384|10414-2	10342-1	10987-4	17829-1|1
10000990224|15076-6	15064-6	18161-0	17829-1	15115-1|2
10000990480|12945-3	10169-3	10440-1	11127-0	19077-5|9
10000991935|11809-2	10979-3	17171-2|0
10000991937|18330-3	16982-5|0
10001351032|11184-2	19208-2	19044-6	16809-5|9
10001351034|19253-4	11224-2	10470-6	10414-2	16757-5	18176-1	16774-5	15635-3	19073-6|9
10001351035|12573-0	10622-2	17374-2|2
10001351037|11328-4	17374-2|2
10001351102|10185-5	10315-4	10187-1	11224-2	19112-1	10120-5	14175-2	10027-2	10334-0	12913-2	19037-3	18012-3|5
10001352464|12070-5	12913-2	12069-4	11238-5	10459-1	19037-3	18131-2|5
10001354559|10276-2	18989-2	11934-6	16815-3|8
10001361760|10806-6	18001-1	13687-1	17829-1|2
10001362658|19481-5	10991-6	18174-5	15773-5	17983-5|5
10001362660|19481-5	14640-1	15742-2	20762-1	10991-6	10112-4	10070-1	16809-5|5
10001362662|10773-2	10056-2	12230-2	10678-3	19037-3	18012-3|8
10001363332|19242-2	19438-6	18012-3|2
10001363333|18013-1	10327-4	19661-3	16757-5	11274-1	11224-2	11266-0	19037-3	18012-3|3
10001364158|13723-2	18679-3	13715-1	19337-5	12170-1	17589-2|2
10001364159|10025-6	17565-2	10343-6	19337-5	17571-0|7
10001365255|19336-0	11183-4	19404-2	17983-5|2
10001365260|10773-2	15072-0	19044-6	15340-1	10034-5	19574-5	15396-2	19037-3	19073-6	16809-5|6
10001370028|11555-0	13415-6	19507-6	19438-6	17829-1|9
10001370629|10382-3	10398-2	15055-0	10159-6	10387-0	10249-5	19073-6|7
10001370704|10008-6	10414-2	12697-3	11790-4	11224-2	17642-3|2
10001370725|10614-1	19352-2	17983-5	19077-5|5
10001370746|19336-0	10619-5	10382-3	13687-1	18671-5	17983-5|7
10001371786|10382-3	11490-2	10722-5	10387-0	19524-6	10346-0	19037-3	16950-4	17433-5	17255-3	17039-2	17374-2	18012-3|3
10001371886|10811-6	19336-0	10008-6	10020-2	19037-3	17983-5|5
10001373506|11599-1	19438-6	19533-5	11895-4	19073-6	19037-3	18012-3|7
10001373731|16754-4	12170-1	10141-4	19073-6|5
10001374111|15706-6	11943-5	11790-4	11183-4	13723-2|6
10001374136|15946-0	17829-1	26290-0|6
10001374696|12278-2	10213-5	13723-2	19071-3	10008-6	19309-3	17993-2|9
10001374698|11330-3	10186-3	10668-6	19071-3	19524-6	10326-6	10466-4	19364-2	10492-3|5
10001374700|10500-2	10500-2	15703-5|6
10001375592|10346-0	19524-6	19044-6	19242-2	19037-3	17983-5|8
10001377568|11219-2	24623-2	10459-1	10466-4	11222-6	19432-4	10338-6	11238-5	19073-6	18012-3|6
10001377569|18848-6	11222-6	19432-4	18155-2	19214-0	11182-6	19073-6|4
10001379394|10287-4	11702-6	12278-2	10241-0	10213-5	17829-1|2
10001379396|11335-0	18013-1	17829-1|7
10001379398|18120-0	12205-1	12253-4	15945-2	15928-2	15918-5	17829-1|2
10001379609|10428-5	19244-5	10057-0	10338-6	19524-6	10466-4	19073-6	19037-3	17829-1|4
10001379610|10458-3	10979-3	10478-4	18869-5	17829-1|0
10001379611|16028-5	18025-1	16539-1	16526-3	13416-4	17829-1|6
10001379612|10481-1	19036-5	10459-1	18461-2	17568-3	17829-1|7
10001379614|19274-3	10779-4	19222-1	10070-1	10068-2	19073-6|9
10001379615|10478-4	18176-1	10205-4	16051-3	19816-0	18461-2	17829-1|3
10001379616|11302-1	13699-1	12574-5	15163-4	19073-6	19037-3	17829-1|9
10001379619|10481-1	18176-1	18082-3	19073-6	17829-1|3
10001379621|19317-4	10612-5	19326-3	10070-1	15458-6	11039-4	19073-6|6
10001379622|13742-5	10382-3	18679-3	10194-4	19208-2	15448-2	19073-6|9
10001379623|19472-6	19472-6	11322-2	11277-2	11275-6	11354-3	17829-1|8
10001379624|10638-1	19440-5	15954-1	17829-1|5
10001379646|13715-1	12438-6	12275-1	18391-4	14298-0	10213-5	19073-6	17829-1|6
10001379648|13102-6	10895-2	17829-1	18434-5|2
10001379649|11728-2	10659-0	19524-6	17829-1	18012-3	17568-3|0
10001379650|10237-5	16635-5	11224-2	19073-6	17829-1|4
10001379658|12304-6	12069-4	15396-2	17829-1|8
10001379659|19377-0	10975-4	16297-6	10112-4	19073-6|1
10001379660|16035-1	10113-2	10975-4	19073-6|3
10001379661|11374-4	11322-2	18821-5	15125-5|1
10001379663|18027-4	12810-5	10897-5	13360-5	10901-5	10928-6	19522-3	17829-1|4
10001379998|10338-6	17993-2	10347-5	19073-6|9
10001380002|10185-5	10460-2	10466-4	10073-2	11931-5	19073-6	15097-5|3
10001380010|10682-5	10414-2	19317-4	19037-3	16809-5|5
10001380328|10278-5	10020-2	10057-0	10129-1	18948-2	15340-1	15251-0	19073-6|4
10001380374|11728-2	19071-3	19404-2	15397-0	17993-2|2
10001381081|10139-5	11262-1	11322-2	11284-5	19073-6	19037-3	17255-3|0
10001381134|18176-1	18067-6	18289-2	12275-1	19073-6|3
10001381137|10056-2	10035-3	19073-6|9
10001381141|15093-6	18891-5	19073-6	17829-1	15097-5|4
10001381143|19384-3	10144-5	19073-6|4
10001381145|16193-4	11551-1	12072-1	11039-4	10070-1	15458-6	19037-3	19073-6|1
10001381147|18308-3	19181-3	17829-1|1
10001381151|19849-6	19533-5	16440-6	19073-6	17829-1|6
10001381155|11728-2	11770-3	10968-1	10975-4	19073-6|4
10001381160|11825-4	10979-3	11054-1	19073-6	17829-1|5
10001381161|10823-6	19317-4	10112-4	10975-4	19073-6	17565-2|8
10001381164|18856-0	19112-1	11183-4	17829-1	30104-5	19601-0|4
10001381322|15770-4	15774-3	10459-1	10466-4	11238-5	15763-1	18012-3|0
10001381583|11650-6	11600-0	11666-5	10092-5	10975-4	19037-3	19073-6	17829-1|8
10001381584|19493-5	11185-0	12697-3	11183-4	11238-5	19037-3	17104-3	18012-3	17161-5	17374-2|6
10001381774|10253-0	11127-0	19317-4	17565-2|7
10001387305|19073-6	15372-2	15328-5|1
10001387307|15396-2	19073-6	15372-2	19037-3	10265-0	17829-1|4
10001387310|12280-1	10194-4	10056-2	10081-3	19554-4	19073-6|4
10001387313|12212-4	19271-2	19204-3	19073-6|5
10001387363|10987-4	19481-5	10629-2	10070-1	10112-4	10668-6	19073-6	17993-2|7
10001387634|10460-2	10338-6	10145-3	12700-5	10466-4	10224-0	19073-6	19037-3	17829-1|0
10001387635|12253-4	10816-3	18118-1	13738-3	19073-6	16809-5|1
10001388167|11182-6	19534-3	18131-2|6
10001388171|12504-5	12619-2	18867-2	13057-6	19073-6	17829-1|6
10001388172|11327-6	19516-5	17829-1|4
10001388177|10343-6	11479-4	11430-6	10338-6	10051-5	19073-6	17829-1	19664-4|6
10001388182|12304-6	19522-3	12174-0	19073-6|2
10001388190|15655-4	18926-5	13355-5	19760-1	10006-3	17829-1|5
10001388193|11354-3	16543-3	19752-0	17829-1|7
10001388483|18948-2	11735-5	17829-1|8
10001388739|18067-6	16759-1	19533-5	10162-3	19073-6|1
10001388787|16539-1	13699-1	12212-4	10179-0	10070-1	19073-6|2
10001388788|19554-4	19335-2	10249-5	19073-6	19037-3	17993-2|7
10001388790|19271-2	10210-4	18679-3	19073-6|9
10001388791|10475-3	10466-4	17829-1|3
10001388793|10555-5	16193-4	17829-1	10492-3|7
10001388795|13862-2	11356-6	15938-6	17829-1|7
10001388826|13723-2	10894-4	11633-6	19073-6	17565-2|8
10001388828|18884-2	18884-2	11735-5	10112-4	19073-6	17829-1|1
10001388831|13371-0	10895-2	10897-5	13372-5	10206-2	10963-4	16051-3	10112-4	19073-6	17829-1|6
10001388833|12251-1	13287-3	10806-6	10194-4	10797-2	10508-0	10797-2	16809-5|4
10001388835|16668-4	19032-6	11555-0	11554-2	19841-1	17829-1|9
10001388840|19242-2	10434-3	10615-6	11650-6	19073-6	19037-3	19178-6|0
10001388841|10169-3	10249-5	10145-3	19073-6|1
10001388842|10968-1	15904-2	11554-2	13416-4	16526-3	19073-6	17829-1|3
10001388845|16666-1	10213-5	10978-5	16621-2	11373-6	17829-1|1
10001388847|16666-1	18992-6	16670-3	17829-1|2
10001388853|15340-1	19038-1	11189-6	15932-4	10991-6	19073-6	17829-1|8
10001388859|11770-3	11705-0	11650-6	18884-2	10414-2	11039-4	10035-3	10106-6	19073-6|7
10001388868|13416-4	11167-2	19073-6	16809-5|4
10001388870|13416-4	11039-4	18025-1	19073-6|8
10001390148|10831-0	12281-6	18674-6	17570-2	17829-1	17374-2	19664-4|0
10001390149|10815-5	10823-6	19337-5	17589-2|3
10001390152|10836-4	10460-2	17829-1|0
