14|2154508|14-142098|00|null|Issued|2014-02-05T20:25:36+01:00|2014-12-31|Retail Dealer|Clothing/Shoes|null|null|2870|W BROADWAY|Vancouver|BC|CA|V6K 2G7|Kitsilano|2|170|2019-07-21T22:49:12+02:00|null
14|2154510|14-142100|00|The Fall Tattooing|Issued|2014-01-07T00:21:42+01:00|2014-12-31|Retail Dealer|Art Gallery|null|null|644|SEYMOUR ST|Vancouver|BC|CA|V6B 3K4|Downtown|000|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.115878633797, 49.2823109000092]}"
14|2154511|14-142101|00|Canadian Tire #604 Store|Issued|2013-12-09T23:31:54+01:00|2014-12-31|Retail Dealer|Department Store|null|null|2830|BENTALL ST|Vancouver|BC|CA|V5M 4H4|Renfrew-Collingwood|000|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.031196074558, 49.2591534796541]}"
14|2154512|14-142102|00|Vap Brake & Clutch Service|Pending|null|null|Retail Dealer|Other|null|null|1281|FRANCES ST|Vancouver|BC|CA|V6A 1Z4|Strathcona|0|null|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.077660165835, 49.2797316330111]}"
14|2154517|14-142107|00|null|Issued|2013-12-27T09:51:51+01:00|2014-12-31|Retail Dealer|Other|null|null|5515|WEST BOULEVARD|Vancouver|BC|CA|V6M 3W6|Arbutus-Ridge|3|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.155867328486, 49.2362974199326]}"
14|2154518|14-142108|00|Honey Gifts|Issued|2013-12-28T05:29:50+01:00|2014-12-31|Retail Dealer|Gifts/Novelties|null|null|null|null|Vancouver|BC|CA|null|Killarney|1|130|2019-07-21T22:49:12+02:00|null
14|2154521|14-142111|00|Earthrise Garden Store|Issued|2014-06-25T23:47:05+02:00|2014-12-31|Retail Dealer|Flowers|null|null|2954|W 4TH AV|Vancouver|BC|CA|V6K 1R4|Kitsilano|000|830|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.171467424008, 49.2681413076609]}"
14|2154524|14-142114|00|The Boardroom|Issued|2014-01-30T21:55:35+01:00|2014-12-31|Retail Dealer|Clothing/Shoes|null|null|1723|W 4TH AV|Vancouver|BC|CA|V6J 1M2|Fairview|8|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.143854513856, 49.2682417724637]}"
14|2154528|14-142118|00|null|Issued|2013-11-20T19:36:09+01:00|2014-12-31|Retail Dealer|Other|null|null|2331|MAIN ST|Vancouver|BC|CA|V5T 3C9|Mount Pleasant|3|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.101414450466, 49.2641752183394]}"
14|2154531|14-142121|00|Dandelion Records & Emporium|Issued|2013-12-27T20:18:40+01:00|2014-12-31|Retail Dealer|Books/Stationary|null|null|2442|MAIN ST|Vancouver|BC|CA|V5T 3E2|Mount Pleasant|1|130|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.100610221939, 49.263292538284]}"
14|2154535|14-142125|00|Bisou Bridal/Stepstone Design|Issued|2014-01-17T20:50:56+01:00|2014-12-31|Retail Dealer|Clothing/Shoes|null|null|440|W 2ND AV|Vancouver|BC|CA|V5Y 1E2|Mount Pleasant|4|170|2019-07-21T22:49:12+02:00|"{""type"": ""Point"", ""coordinates"": [-123.113233378474, 49.2670876449973]}"
14|2154537|14-142127|00|Moss Design|Issued|2013-11-25T20:04:21+01:00|2014-12-31|Retail Dealer|Flowers|null|null|null|null|Vancouver|BC|CA|null|Kerrisdale|1|130|2019-07-21T22:49:12+02:00|null
