1|1|BJ Cook|2010-04-01|1
2|1|Blitz Surfer|2010-04-01|1
3|1|Nischal Shetty|2010-04-01|1
4|1|Jonah Grant|2010-04-01|1
5|1|Joshua Guffey|2010-04-01|1
6|1|Tom|2010-04-01|1
7|1|Erik|2010-04-01|1
8|1|Andrew Furman|2010-04-02|1
9|1|Seika|2010-04-02|1
10|1|Jacobian|2010-04-01|1
11|1|Joseph|2010-04-01|1
12|1|Martin|2010-04-01|1
13|1|James|2010-04-02|1
14|1|Rajan|2010-04-02|1
15|2|Jacob|2010-04-01|1
16|2|Billso|2010-04-01|1
17|2|tren|2010-04-02|1
18|2|Ibrahim Ali|2010-04-01|1
19|2|TJ|2010-04-01|1
20|2|James Joaquin|2010-04-01|1
21|2|Shailesh Banta|2010-04-01|1
22|2|Tien Nguyen|2010-04-01|1
23|2|Adriel|2010-04-01|1
24|2|Cory Liu|2010-04-01|1
25|2|Haung Chen|2010-04-01|1
26|2|josh|2010-04-01|1
27|2|Googlism|2010-04-01|1
28|2|bassitone|2010-04-01|1
29|2|Eric Marcoullier|2010-04-01|1
30|2|Ellen|2010-04-01|1
31|2|Cory Watilo|2010-04-01|1
32|2|Joshua Guffey|2010-04-01|1
33|2|The Universal Guru|2010-04-01|1
34|2|elvin|2010-04-01|1
35|2|PhpMyCoder|2010-04-01|1
36|2|PhpMyCoder|2010-04-01|1
37|2|martin|2010-04-01|1
38|2|Risto Anton Päärni|2010-04-01|1
39|2|Josh Armstrong|2010-04-01|1
40|2|anthony|2010-04-01|1
41|2|K3|2010-04-01|1
42|2|Michael Arrington|2010-04-01|1
43|2|The John|2010-04-02|1
44|2|Martin|2010-04-02|1
45|11|Arvin Pinchot|2010-04-01|1
46|11|Devin Coldewey|2010-04-01|1
47|11|Arvin Pinchot|2010-04-01|1
48|11|Devin Coldewey|2010-04-01|1
49|11|yarsrvenge|2010-04-01|1
50|11|Scot|2010-04-01|1
51|11|jimmy|2010-04-01|1
52|11|Dashiell Menard|2010-04-01|1
53|11|Daniel Eran Dilger|2010-04-01|1
54|11|Austin|2010-04-01|1
55|11|Delacroix|2010-04-01|1
56|11|Devin Coldewey|2010-04-01|1
57|11|Ash|2010-04-01|1
58|11|Jason Harris|2010-04-01|1
59|11|Christopher Masiello|2010-04-01|1
60|11|Cin|2010-04-02|1
61|11|BigD|2010-04-01|1
62|11|david amodt|2010-04-01|1
63|11|david amodt|2010-04-01|1
64|11|Jorge Valentin|2010-04-01|1
65|11|Michelle Affington|2010-04-01|1
66|11|Matt Jurek|2010-04-02|1
67|77|Matt Lawson|2010-03-30|1
68|77|Devin Coldewey|2010-03-30|1
69|77|joojoo|2010-03-31|1
70|77|iPad Covers|2010-03-30|1
71|77|toypaj|2010-03-30|1
72|77|Travis|2010-03-30|1
73|77|Steven Eppinger|2010-03-30|1
74|77|Martin Repetto|2010-03-30|1
75|77|Devin Coldewey|2010-03-30|1
76|77|Tim Ryan|2010-03-30|1
77|77|Devin Coldewey|2010-03-30|1
78|77|Bill|2010-03-30|1
79|77|Bronson-Lee|2010-03-30|1
80|77|techclicker|2010-03-30|1
81|77|Devin Coldewey|2010-03-30|1
82|77|JFS|2010-04-01|1
83|659|Dennis|2010-03-04|1
84|659|eTraveler|2010-03-04|1
85|659|Brian|2010-03-05|1
86|659|George|2010-03-05|1
87|659|Teresa C.|2010-03-05|1
88|659|Amanda O.|2010-03-18|1
89|659|corne|2010-03-04|1
90|659|Yelp Sucks|2010-03-05|1
91|659|Yelp Sucks|2010-03-09|1
92|659|Tony C.|2010-03-05|1
93|659|danny007|2010-03-04|1
94|659|yo|2010-03-04|1
95|659|Gebadia Smith|2010-03-04|1
96|659|Dave Hanna|2010-03-05|1
97|659|Brian|2010-03-05|1
98|659|jb|2010-03-04|1
99|659|danny007|2010-03-04|1
100|659|Patrick Chang|2010-03-04|1
101|659|Dave Hanna|2010-03-05|1
102|659|Ron|2010-03-04|1
103|659|Victor Caballero|2010-03-04|1
104|659|Luke|2010-03-04|1
105|659|Gebadia Smith|2010-03-04|1
106|659|RF|2010-03-04|1
107|659|Dave Hanna|2010-03-05|1
108|659|will|2010-03-04|1
109|659|jb|2010-03-04|1
110|659|Guy|2010-03-04|1
111|659|YL|2010-03-04|1
112|659|Neilich|2010-03-05|1
113|659|Brian|2010-03-05|1
114|659|James|2010-03-04|1
115|659|Clark|2010-03-04|1
116|659|Kevin Thompson|2010-03-04|1
117|659|DLK|2010-03-04|1
118|659|Victor Caballero|2010-03-04|1
119|659|a business owner|2010-03-04|1
120|659|cease|2010-03-04|1
121|659|Conspiracy Theorist|2010-03-04|1
122|659|Greg|2010-03-04|1
123|659|Adam Boalt|2010-03-04|1
124|659|Golden Twist|2010-03-04|1
125|659|ThroughTheFog|2010-03-05|1
126|659|ArticlePlaygrnd|2010-03-04|1
127|659|Adryenn Ashley|2010-03-04|1
128|659|Raj Sarkar|2010-03-04|1
129|659|Dave Hanna|2010-03-05|1
130|659|Raj Sarkar|2010-03-04|1
131|659|Dave Hanna|2010-03-05|1
132|659|EW|2010-03-05|1
133|659|Brian|2010-03-05|1
134|659|Peter McRae|2010-03-05|1
135|659|Dave Hanna|2010-03-05|1
136|659|bizcoachpros|2010-03-05|1
137|659|johnny in bolivia|2010-03-05|1
138|659|Madison (MST)|2010-03-05|1
139|659|CincySteve|2010-03-05|1
140|659|Mikky|2010-03-05|1
141|659|MyDocHub.com Doctor Reviews|2010-03-05|1
142|659|Ron|2010-03-05|1
143|659|Dino Baskovic|2010-03-05|1
144|659|Mikky|2010-03-05|1
145|5765|boseheadphones|2009-07-27|1
146|5765|Dan Grossman|2009-07-20|1
147|5765|Dan Grossman|2009-07-20|1
148|5766|Pete|2009-07-19|1
149|5766|Darren Hayes|2009-07-19|1
150|5766|josh|2009-07-19|1
151|5766|Darren Hayes|2009-07-19|1
152|5766|Dog Breath|2009-07-19|1
153|5766|Dog Breath|2009-07-19|1
154|5766|Phil|2009-07-19|1
155|5766|Brenton|2009-07-19|1
156|5766|Ashu|2009-07-19|1
157|5766|Ashu|2009-07-19|1
158|5766|Brad Jashinsky|2009-07-19|1
159|5766|Mazy Kazerooni|2009-07-19|1
160|5766|Ashu|2009-07-19|1
161|5766|Jason Kincaid|2009-07-19|1
162|5766|Mark Thomson|2009-07-19|1
163|5766|josh|2009-07-19|1
164|5766|Peter Warnockcan|2009-07-19|1
165|5766|James F.|2009-07-19|1
166|5766|silicon valley dropout|2009-07-19|1
167|5766|Greg|2009-07-19|1
168|5766|Jason Wagner|2009-07-19|1
169|5766|Andrew Hallock|2009-07-19|1
170|5766|Jason Kincaid|2009-07-19|1
171|5766|davebroham|2009-07-19|1
172|5766|Andrew|2009-07-19|1
173|5766|Jason Kincaid|2009-07-19|1
174|5766|Neil|2009-07-22|1
175|5766|DemoGen|2009-07-19|1
176|5766|Saad Kamal|2009-07-19|1
177|5766|lm54|2009-07-19|1
178|5766|Dan Grossman|2009-07-19|1
179|5766|davebroham|2009-07-19|1
180|5766|Herb|2009-07-20|1
181|5766|MarshallClark|2009-10-07|1
182|5766|Jeff|2009-07-19|1
183|5766|anonymous|2009-07-19|1
184|5766|anonymous|2009-07-19|1
185|5766|Jyoseph|2009-07-19|1
186|5766|Spencer Schoeben|2009-07-19|1
187|5766|Michael Arrington|2009-07-19|1
188|5766|Jay Cuthrell|2009-07-19|1
189|5766|Jim Gilliam|2009-07-19|1
190|5766|eCommerceHenry|2009-07-19|1
191|5766|Brian Reavis|2009-07-19|1
192|5766|ianubis|2009-07-19|1
193|5766|Jason Kincaid|2009-07-19|1
194|5766|MG Siegler|2009-07-19|1
195|5766|Jay Cuthrell|2009-07-19|1
196|5766|Spencer Schoeben|2009-07-19|1
197|5766|10things.me|2009-07-19|1
198|5766|Justin Bellinger|2009-07-19|1
199|5766|mickerlodeon|2009-07-19|1
200|5766|10things.me|2009-07-19|1
201|5766|Marc Krisjanous|2009-07-19|1
202|5766|Needmoney.com|2009-07-19|1
203|5766|EH|2009-07-19|1
204|5766|john doe|2009-07-19|1
205|5766|Jay Cuthrell|2009-07-19|1
206|5766|LOLGeek|2009-07-19|1
207|5766|10things.me|2009-07-19|1
208|5766|Gadget Sleuth|2009-07-19|1
209|5766|JamesP|2009-07-19|1
210|5766|Craig Hughes|2009-07-19|1
211|5766|Mark N|2009-07-19|1
212|5766|silicon valley dropout|2009-07-19|1
213|5766|Mark N|2009-07-19|1
214|5766|Collin1000|2009-07-19|1
215|5766|silicon valley dropout|2009-07-19|1
216|5766|Andrew Hays|2009-07-19|1
