26411|0|10772510|10772511
26411|1|17246228|17246229
26411|2|17223544|17223545
26411|3|17223536|17223537
26411|4|17223528|17223529
26411|5|17223520|17223521
26411|6|17223512|17223513
26412|0|7175447|7175448
26412|1|7175471|7175472
26412|2|7175463|7175464
26412|3|7175455|7175456
26412|4|6444148|6444149
26412|5|6444140|6444141
26412|6|6444132|6444133
26413|0|21615453|21615454
26413|1|21615434|21615435
26413|2|21615415|21615416
26413|3|22840574|22840575
26413|4|22756089|22756090
26413|5|22690860|22690861
26413|6|21777633|21777634
26414|0|10814224|10814225
26414|1|19491319|19491320
26414|2|19491311|19491312
26414|3|19491303|19491304
26414|4|19491287|19491288
26414|5|19491279|19491280
26414|6|19491271|19491272
26415|0|21097297|21097298
26415|1|18863483|18863484
26415|2|18863377|18863378
26415|3|21074704|21074705
26415|4|21074717|21074718
26415|5|21075029|21075030
26415|6|21075125|21075126
26416|0|994025|994026
26416|1|5742019|5742020
26416|2|994029|994030
26416|3|21451258|21451259
26416|4|20210181|20210182
26416|5|18414042|18414043
26416|6|17919195|17919196
26417|0|2857699|2857700
26417|1|16808928|16808929
26417|2|16808920|16808921
26417|3|16808912|16808913
26417|4|16808904|16808905
26417|5|16808896|16808897
26417|6|16808888|16808889
26418|0|16852519|16852520
26418|1|16852527|16852528
26418|2|16852511|16852512
26418|3|16852503|16852504
26418|4|16755473|16755474
26418|5|16815146|16815147
26418|6|16757591|16757592
26419|0|841042|841043
26419|1|841058|841059
26419|2|841050|841051
26419|3|23365928|23365929
26419|4|23224423|23224424
26419|5|21841890|21841891
26419|6|21790494|21790495
26420|0|2158782|2158783
26420|1|17519354|17519355
26420|2|17519346|17519347
26420|3|17519338|17519339
26420|4|17519261|17519262
26420|5|11557627|11557628
26420|6|11557594|11557595
26421|0|9706069|9706070
26421|1|23240237|23240238
26421|2|13316063|13316064
26421|3|7188056|7188057
26422|0|11924348|11924349
26422|1|15364283|15364284
26422|2|14935065|14935066
26422|3|14935057|14935058
26422|4|14935049|14935050
26422|5|13918699|13918700
26422|6|13918691|13918692
26423|0|15134265|15134266
26423|1|21785375|21785376
26423|2|21785319|21785320
26423|3|21784870|21784871
26423|4|18101664|18101665
26423|5|18101648|18101649
26423|6|18101640|18101641
26424|0|1690958|1690959
26424|1|1691030|1691031
26424|2|1691022|1691023
26424|3|1691014|1691015
26424|4|1691006|1691007
26424|5|1690998|1690999
26424|6|1934738|1934739
26425|0|23539611|23539612
26425|1|23539603|23539604
26425|2|23539595|23539596
26425|3|23539587|23539588
26425|4|23539579|23539580
26426|0|9986295|9986296
26426|1|11317693|11317694
26426|2|11317685|11317686
26426|3|11317677|11317678
26426|4|11317669|11317670
26426|5|11317661|11317662
26426|6|11317653|11317654
26427|0|1023186|1023187
26427|1|3902369|3902370
26427|2|3902670|3902671
26427|3|3860134|3860135
26427|4|3528198|3528199
26427|5|2281989|2281990
26428|0|11860050|11860051
26428|1|13465167|13465168
26428|2|13465159|13465160
26428|3|13465151|13465152
26428|4|13465143|13465144
26428|5|13465135|13465136
26428|6|13465073|13465074
26429|0|980733|980734
26429|1|4874924|4874925
26429|2|4874916|4874917
26429|3|4874908|4874909
26429|4|4874900|4874901
26429|5|4874892|4874893
26429|6|4874884|4874885
26430|0|16493387|16493388
26430|1|16493379|16493380
26430|2|16493371|16493372
26430|3|16493363|16493364
26430|4|15439168|15439169
26430|5|15439160|15439161
26430|6|15439092|15439093
26431|0|2489190|2489191
26432|0|992652|992653
26432|1|7772830|7772831
26432|2|7687397|7687398
26432|3|7687389|7687390
26432|4|7687335|7687336
26432|5|7687327|7687328
26432|6|7687319|7687320
26433|0|1205886|1205887
26433|1|1205890|1205891
26433|2|1205894|1205895
26434|0|6797352|6797353
26434|1|6797384|6797385
26434|2|6797376|6797377
26434|3|6797368|6797369
26434|4|6797360|6797361
26435|0|8988314|8988315
26435|1|952925|952926
26435|2|952917|952918
26435|3|952909|952910
26435|4|952901|952902
26435|5|952893|952894
26435|6|952885|952886
26436|0|9793397|9793398
26436|1|11566336|11566337
26436|2|11566103|11566104
26436|3|11566015|11566016
26436|4|9793604|9793605
26436|5|9793586|9793587
26436|6|9793554|9793555
26437|0|23221712|23221713
26438|0|929810|929811
26438|1|13763110|13763111
26438|2|13763102|13763103
26438|3|13763094|13763095
26438|4|18699348|18699349
26438|5|938064|938065
26438|6|938072|938073
26439|0|7891201|7891202
26439|1|7891165|7891166
26439|2|7864639|7864640
26439|3|7863447|7863448
26439|4|7837033|7837034
26439|5|7531788|7531789
26439|6|7531796|7531797
26440|0|1111357|1111358
26440|1|3445181|3445182
26441|0|20419612|20419613
26441|1|20419599|20419600
26441|2|20419591|20419592
26441|3|20419524|20419525
26441|4|20419516|20419517
26442|0|5666437|5666438
26442|1|15344522|15344523
26443|0|6968440|6968441
26443|1|21745565|21745566
26443|2|21745549|21745550
26443|3|21745530|21745531
26443|4|21745440|21745441
26443|5|21745407|21745408
26443|6|20417126|20417127
26444|0|23317764|23317765
26444|1|21579554|21579555
26444|2|21577350|21577351
26444|3|19334459|19334460
26444|4|19334428|19334429
26444|5|17370626|17370627
26444|6|17057250|17057251
26445|0|7596764|7596765
26445|1|7596772|7596773
26445|2|7596780|7596781
26445|3|7596788|7596789
26445|4|7596796|7596797
26445|5|7596804|7596805
26445|6|7596728|7596729
26446|0|3896443|3896444
26446|1|20142817|20142818
26446|2|19084878|19084879
26446|3|12943112|12943113
26446|4|12943104|12943105
26446|5|12943096|12943097
26446|6|12180814|12180815
26447|0|3734772|3734773
26447|1|7189313|7189314
26447|2|5505470|5505471
26447|3|5505478|5505479
26447|4|18691538|18691539
26447|5|18412327|18412328
26447|6|17717253|17717254
26448|0|7412835|7412836
26448|1|7412821|7412822
26448|2|7412804|7412805
26448|3|22017233|22017234
26448|4|22017241|22017242
26448|5|21542942|21542943
26448|6|21020905|21020906
26449|0|6131820|6131821
26449|1|10349665|10349666
26449|2|9982492|9982493
26449|3|9982500|9982501
26449|4|9982443|9982444
26449|5|9982451|9982452
26449|6|9982462|9982463
26450|0|23047936|23047937
26450|1|23264189|23264190
26450|2|23263984|23263985
26450|3|23048002|23048003
26450|4|23048109|23048110
26450|5|23047968|23047969
26450|6|23048019|23048020
26451|0|2488937|2488938
26451|1|19226642|19226643
26451|2|23561220|23561221
26451|3|9717684|9717685
26451|4|9717692|9717693
26451|5|8939497|8939498
26451|6|6883917|6883918
26452|0|984468|984469
26452|1|18594236|18594237
26452|2|18389681|18389682
26452|3|18184991|18184992
26452|4|18184983|18184984
26452|5|18184975|18184976
26452|6|1460444|1460445
26453|0|1732353|1732354
26453|1|1732377|1732378
26453|2|1732385|1732386
26453|3|1732393|1732394
26453|4|1732345|1732346
26453|5|1732361|1732362
26453|6|1732369|1732370
26454|0|963885|963886
26454|1|963889|963890
26454|2|963893|963894
26454|3|963897|963898
26454|4|963901|963902
26454|5|963905|963906
26454|6|963909|963910
26455|0|17248131|17248132
26455|1|17248206|17248207
26456|0|18559527|18559528
26456|1|18559509|18559510
26456|2|18559468|18559469
26456|3|18559439|18559440
26456|4|9648890|9648891
26456|5|9633215|9633216
26456|6|9632215|9632216
26457|0|2480268|2480269
26457|1|2480300|2480301
26458|0|13578334|13578335
26458|1|22274523|22274524
26458|2|22274512|22274513
26458|3|21905483|21905484
26458|4|21905475|21905476
26458|5|21905467|21905468
26458|6|21905459|21905460
26459|0|9438503|9438504
26459|1|23239074|23239075
26459|2|4161582|4161583
26459|3|9438517|9438518
26459|4|9438605|9438606
26459|5|9438674|9438675
26459|6|9438682|9438683
26460|0|2677482|2677483
26460|1|2677466|2677467
26461|0|11213191|11213192
26461|1|11251428|11251429
26461|2|11251420|11251421
26461|3|11251412|11251413
26461|4|11251404|11251405
26461|5|11251396|11251397
26461|6|11251388|11251389
26462|0|23254893|23254894
26462|1|23280390|23280391
26462|2|23254909|23254910
26462|3|23254901|23254902
26462|4|23254885|23254886
26462|5|23254877|23254878
26462|6|23254869|23254870
26463|0|3108432|3108433
26463|1|19574232|19574233
26463|2|19574163|19574164
26463|3|19574108|19574109
26463|4|19536037|19536038
26463|5|19229811|19229812
26463|6|19229587|19229588
26464|0|1084213|1084214
26464|1|6909820|6909821
26464|2|6909812|6909813
26464|3|6909804|6909805
26464|4|6909796|6909797
26464|5|6909788|6909789
26464|6|6909780|6909781
26465|0|1041866|1041867
26465|1|3714552|3714553
26465|2|20992829|20992830
26465|3|20705633|20705634
26465|4|14893688|14893689
26465|5|5273040|5273041
26465|6|5273048|5273049
26466|0|19975359|19975360
26466|1|19975383|19975384
26466|2|19975375|19975376
26466|3|19975367|19975368
26466|4|19975351|19975352
26466|5|19975343|19975344
26466|6|19975335|19975336
26467|0|8524732|8524733
26467|1|8524740|8524741
26468|0|12016396|12016397
26468|1|23412601|23412602
26468|2|23412547|23412548
26468|3|23412520|23412521
26468|4|23412489|23412490
26468|5|23412468|23412469
26468|6|18744512|18744513
26469|0|5581950|5581951
26469|1|13468650|13468651
26469|2|13468642|13468643
26469|3|13468634|13468635
26469|4|13468626|13468627
26469|5|13468618|13468619
26469|6|13468610|13468611
26470|0|22003887|22003888
26470|1|22003366|22003367
26470|2|22003268|22003269
26470|3|22003251|22003252
26470|4|22003238|22003239
26470|5|22003206|22003207
26471|0|16493387|16493388
26471|1|16493379|16493380
26471|2|16493371|16493372
26471|3|16493363|16493364
26471|4|15439168|15439169
26471|5|15439160|15439161
26471|6|15439092|15439093
26472|0|2206915|2206916
26472|1|2207147|2207148
26472|2|2207155|2207156
26472|3|2207163|2207164
26472|4|2207171|2207172
26472|5|2207179|2207180
26472|6|2207203|2207204
26473|0|22964021|22964022
26473|1|22964050|22964051
26473|2|22964064|22964065
26473|3|22964083|22964084
26473|4|22964142|22964143
26473|5|22964170|22964171
26473|6|3489034|3489035
26474|0|6080047|6080048
26474|1|6079957|6079958
26474|2|6078577|6078578
26474|3|6078569|6078570
26474|4|5725303|5725304
26474|5|5725295|5725296
26474|6|5725287|5725288
26475|0|2469596|2469597
26475|1|9714045|9714046
26475|2|8110900|8110901
26475|3|6950985|6950986
26475|4|6950993|6950994
26475|5|6951001|6951002
26475|6|6951009|6951010
26476|0|11273371|11273372
26476|1|2964382|2964383
26476|2|5354141|5354142
26476|3|5353870|5353871
26476|4|5354133|5354134
26476|5|5353862|5353863
26476|6|5353854|5353855
26477|0|16687632|16687633
26477|1|16687640|16687641
26478|0|5526147|5526148
26478|1|20509221|20509222
26478|2|17473408|17473409
26478|3|17473394|17473395
26478|4|17473359|17473360
26478|5|17473324|17473325
26478|6|17473316|17473317
26479|0|16273918|16273919
26479|1|16273958|16273959
26479|2|16273950|16273951
26479|3|16273942|16273943
26479|4|16273934|16273935
26479|5|16273926|16273927
26479|6|9415486|9415487
26480|0|16829514|16829515
26480|1|17337111|17337112
26480|2|17337076|17337077
26480|3|17337048|17337049
26480|4|17095723|17095724
26480|5|16829538|16829539
26480|6|16829530|16829531
26481|0|9180827|9180828
26481|1|17000331|17000332
26481|2|10548928|10548929
26481|3|10199540|10199541
26481|4|9788565|9788566
26481|5|9578866|9578867
26481|6|9310268|9310269
26482|0|3454203|3454204
26482|1|9439588|9439589
26482|2|9439514|9439515
26482|3|9439296|9439297
26482|4|9439259|9439260
26482|5|8095226|8095227
26482|6|8095218|8095219
26483|0|3454203|3454204
26483|1|9439588|9439589
26483|2|9439514|9439515
26483|3|9439296|9439297
26483|4|9439259|9439260
26483|5|8095226|8095227
26483|6|8095218|8095219
26484|0|19291726|19291727
26484|1|20838305|20838306
26484|2|20837115|20837116
26484|3|20837044|20837045
26484|4|20836950|20836951
26484|5|20836942|20836943
26484|6|19291845|19291846
26485|0|13420948|13420949
26485|1|13420940|13420941
26485|2|13420932|13420933
26485|3|13420924|13420925
26485|4|13420916|13420917
26485|5|13420908|13420909
26485|6|13420900|13420901
26486|0|5823929|5823930
26486|1|8365139|8365140
26486|2|5823993|5823994
26486|3|5823985|5823986
26486|4|5823977|5823978
26486|5|5823969|5823970
26486|6|5823961|5823962
26487|0|3505522|3505523
26488|0|16269008|16269009
26488|1|15705736|15705737
26488|2|15705728|15705729
26488|3|15705706|15705707
26488|4|15705698|15705699
26488|5|15705690|15705691
26488|6|15705682|15705683
26489|0|9874865|9874866
26489|1|9050716|9050717
26489|2|3542300|3542301
26489|3|23330301|23330302
