3011076|O'Ryan, Ellie|1481425730, 1481425749, 9781481425735, 9781481425742|2014.|Simon Spotlight,|jcbk|ncrdr|Floating|qna|2017-09-01T00:00:00.000|1
2248846|Kishimoto, Masashi, 1974-|1569319006|2003, c1999.|Viz,|acbk|nycomic|NA|lcy|2017-09-01T00:00:00.000|1
3209270|Scott, Jerry, 1955-|144945867X, 9781449458676|2014.|Andrews McMeel Publishing,|acbk|nycomic|NA|bea|2017-09-01T00:00:00.000|1
1907265|Carlile, Clancy, 1930-|0786706155|c1999.|Carroll & Graf,|acbk|cafic|NA|cen|2017-09-01T00:00:00.000|1
1644616|null|094020813X|1991, c1988.|Red Alder Books/Down There Press,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
1736505|null|0300068395, 0300078730|c1997.|Yale University Press,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
1749492|null|091559773X|c1989.|Amana Books,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3270562|London, Julia|0373789998, 037380394X, 9780373789993, 9780373803941|[2017]|HQN,|acbk|nanew|NA|lcy|2017-09-01T00:00:00.000|1
3264577|Olson, Kayla|0062484877, 9780062484871|2017.|HarperTeen,|acbk|nynew|NA|nga|2017-09-01T00:00:00.000|1
3236819|null|null|[2017]|BBC Worldwide,|acdvd|nadvd|Floating|wts|2017-09-01T00:00:00.000|2
3018388|Flinn, Kathleen|067001544X, 9780670015443|2014.|Viking,|acbk|nanf|NA|mon|2017-09-01T00:00:00.000|1
3122831|null|null|[2015]|Universal Studios Home Entertainment,|jcdvd|ncdvd|Floating|rbe|2017-09-01T00:00:00.000|1
2519097|null|null|[2006?]|U.S. Dept. of Health and Human Services ; Dept. of Education,|acdvd|cadvdnf|NA|cen|2017-09-01T00:00:00.000|1
3274605|Pyper, Andrew|1476755213, 9781476755212|2017.|Simon & Schuster,|acbk|cafic|NA|cen|2017-09-01T00:00:00.000|1
3265336|Duddle, Jonny|0763692921, 9780763692926|2017.|Templar Books, an imprint of Candelwick Press,|jcbk|ncef|NA|net|2017-09-01T00:00:00.000|1
3154492|null|1942556195, 9781942556190|c2015.|Topix Media Lab,|acbk|nanf|NA|bro|2017-09-01T00:00:00.000|1
3167678|Masson, Cynthea, 1962-|1770412719, 9781770412712|2016.|ECW Press,|acbk|nafic|NA|glk|2017-09-01T00:00:00.000|1
3137398|Toft, Catherine Ann, 1950-2011,,|0520239253, 9780520239258|[2015]|University of California Press ; in collaboration with the World Parrot Trust,|acbk|nanf|NA|gwd|2017-09-01T00:00:00.000|1
3165211|Keville, Kathi|1604695498, 9781604695496|2016.|Timber Press,|acbk|nanf|NA|net|2017-09-01T00:00:00.000|1
2483968|Kirkman, Robert|1582408831, 9781582408835|c2008.|Image Comics|acbk|nacomic|NA|bal|2017-09-01T00:00:00.000|1
3199800|Brooks, Kevin|1512404187, 9781512404180|2016.|Carolrhoda Labs,|acbk|nyfic|NA|glk|2017-09-01T00:00:00.000|1
2268788|Jose, Maia.|9718240357|2000.|Books for Pleasure,|acbk|caln|NA|cen|2017-09-01T00:00:00.000|1
797564|null|null|1960.|[Broadcasting Publications],|arbk|cs6r|NA|cen|2017-09-01T00:00:00.000|1
2059264|Joyce, Brenda|158724036X|c2000.|Wheeler Pub.,|acbk|cs1malf|NA|cen|2017-09-01T00:00:00.000|1
2940843|Miller, Ron, 1947-|0761358854, 9780761358855|c2014.|Twenty-First Century Books,|acbk|nynf|NA|nga|2017-09-01T00:00:00.000|1
3028235|Earhart, Kristin|0545617618, 9780545617611|[2014]|Scholastic Inc.,|jcbk|ncef|NA|gwd|2017-09-01T00:00:00.000|1
2985327|null|0788617818, 9780788617812|©2014|distributed by MPI Home Video|acdvd|nadvd|Floating|bal|2017-09-01T00:00:00.000|1
2352640|null|0471718327, 9780471718321|c2005.|John Wiley & Sons ,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
2552455|Boniface, William|0060774703, 0060774711, 9780060774707, 9780060774714|2008.|HarperCollins,|jcbk|ncfic|NA|mgm|2017-09-01T00:00:00.000|1
2242143|Poydar, Nancy|0823418073|2004.|Holiday House,|jcbk|ccpic|NA|cen|2017-09-01T00:00:00.000|3
3056809|null|null|[2015]|Universal Studios Home Entertainment,|acdvd|nadvd|Floating|nga|2017-09-01T00:00:00.000|2
2765249|Picoult, Jodi, 1966-|1611733669, 9781611733662|2012.|Center Point Publishing,|acbk|nalpfic|Floating|swt|2017-09-01T00:00:00.000|1
1932479|Rutherford, G. Scott, 1944-|null|[1983]|[The Council?],|arbk|cs6r|NA|cen|2017-09-01T00:00:00.000|1
476602|null|null|c1987.|Warner Bros. Publications,|armus|caref|NA|cen|2017-09-01T00:00:00.000|1
2963138|Lamb-Shapiro, Jessica|1439100195, 1439100217, 9781439100196, 9781439100219|2014.|Simon & Schuster,|acbk|nanf|NA|net|2017-09-01T00:00:00.000|1
2709870|Butler, Robert Olen|0802119875, 9780802119872|2011.|Grove Press,|acbk|nafic|NA|bal|2017-09-01T00:00:00.000|1
2328787|NgCheong-Lum, Roseline, 1962-|0761419683|2005.|Marshall Cavendish Benchmark,|jcbk|ncnf|NA|dlr|2017-09-01T00:00:00.000|1
2845634|Thornton, Lee|1440544166, 9781440544163|c2012.|Adams Media,|acbk|nanf|NA|uni|2017-09-01T00:00:00.000|1
11879|Williams, Hermann Warner, 1908-1974|0821204440|[1973]|New York Graphic Society|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3174946|Dean, James, 1957-|0062404253, 0062404261, 9780062404251, 9780062404268|[2016]|Harper, an imprint of HarperCollinsPublishers,|jcbk|ncrdr|Floating|bal|2017-09-01T00:00:00.000|3
168951|Hutchings, Margaret|null|[1958]|Studio Publications|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
2796048|Harrison, Lisi|0316099171, 9780316099172|2012.|Poppy/Little, Brown,|acbk|nyfic|NA|uni|2017-09-01T00:00:00.000|1
3230596|Mara, Wil|0531220907, 9780531220900|[2016]|Children's Press,|jcbk|ncnf|NA|col|2017-09-01T00:00:00.000|1
2613611|Cook, Lisa Fineberg|1439110034, 9781439110034|c2009.|Downtown Press,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3259688|Wadey, Maggie|1910985139, 9781910985137|2016.|Sandstone Press Ltd,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|2
2490088|null|0545073073, 9780545073073|2008.|New Video,|jcdvd|ncdvd|Floating|rbe|2017-09-01T00:00:00.000|1
2535499|United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Health and the Environment|null|1982.|U.S. G.P.O.,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|2
35714|Harman, Gilbert|0385037651|1974.|Anchor Press,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
2737405|Rabe, Tish|0375869778, 0375969772, 9780375869778, 9780375969775|c2012.|Random House,|jcbk|ncrdr|Floating|gwd|2017-09-01T00:00:00.000|1
2064271|Nestor, Sandy|087004401X|2001.|Caxton Press,|arbk|caref|NA|cen|2017-09-01T00:00:00.000|1
3160162|Earhart, Kristin|1481414232, 9781481414234|2016.|Aladdin,|jcbk|ncef|NA|rbe|2017-09-01T00:00:00.000|1
2590075|Pop, Iggy, 1947-|null|p2009.|Astralwerks,|accd|nacd|Floating|glk|2017-09-01T00:00:00.000|1
3272492|McGlynn, Karyna|1941411452, 9781941411452|[2017]|Sarabande Books,|acbk|nanf|NA|uni|2017-09-01T00:00:00.000|1
723015|Froeschner, Richard C.|null|1981.|Smithsonian Institution Press,|arbk|cs7r|NA|cen|2017-09-01T00:00:00.000|1
2872935|Caper, William|1429686596, 9781429686594|2013.|Capstone Press,|jcbk|ncnf|NA|rbe|2017-09-01T00:00:00.000|1
2792404|null|1770492380, 9781770492387|2011.|Tundra Books,|jcbk|ccnf|NA|cen|2017-09-01T00:00:00.000|1
2967007|Stewart, Melissa|1426313446, 1426313454, 9781426313448, 9781426313455|[2014]|National Geographic,|jcbk|ncnf|NA|gwd|2017-09-01T00:00:00.000|1
2987954|Rappaport, Helen|1250020204, 9781250020208|2014.|St. Martin's Press,|acbk|nanf|NA|cap|2017-09-01T00:00:00.000|1
2130621|null|1560254025|c2002.|Thunder's Mouth Press : Distributed by Publishers Group West,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|2
3167001|Wilson, Melba (Chef),|1476795282, 1476795304, 9781476795287, 9781476795300|2016.|Atria Books,|acbk|nanf|NA|bea|2017-09-01T00:00:00.000|1
2745277|Oates, Joyce Carol, 1938-|0802126022, 9780802126023|c2011.|Mysterious Press,|acbk|nafic|NA|bro|2017-09-01T00:00:00.000|1
3277676|Fasbinder, Betsy Graziani.|1631521985, 9781631521980|2017.|She Writes Press,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3068849|McClellan, Brian, 1986-|0316219118, 0316219126, 9780316219112, 9780316219129|2015.|Orbit,|acbk|casf|NA|cen|2017-09-01T00:00:00.000|2
2044450|Schwartz, Marvin D.|157912108X|c2000.|Black Dog & Leventhal : Distributed by Workman Pub. Co.,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|2
443857|null|null|null|null|acmus|camus|NA|cen|2017-09-01T00:00:00.000|1
2968611|Gillen, Kieron|0785168346, 9780785168348|2013.|Marvel Worldwide, Inc.,|acbk|nycomic|NA|col|2017-09-01T00:00:00.000|1
488817|null|0810911396, 087099509X, 0870995103|1988.|Metropolitan Museum of Art ; Art Institute of Chicago ; Distributed by Abrams,|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3275106|Ruby, Lois|0545932505, 9780545932509|[2017]|Scholastic Inc.,|jcbk|ccfic|NA|cen|2017-09-01T00:00:00.000|1
445120|null|null|null|null|acmus|camus|NA|cen|2017-09-01T00:00:00.000|1
