,|FALSE|csv|""""""|5.74gb|4
,|FALSE|csv|""""""|1.19gb|4
,|TRUE|csv|""""""|3.47gb|4
,|FALSE|csv|""""""|3.45gb|4
,|FALSE|csv|""""""|2.08gb|4
,|FALSE|csv|""""""|1.3gb|4
,|FALSE|csv|""""""|2.2gb|4
,|FALSE|csv|""""""|1.07gb|4
,|TRUE|csv|""""""|2.69gb|4
,|TRUE|csv|""""""|1.02gb|4
,|TRUE|csv|""""""|2.34gb|4
,|TRUE|csv|""""""|1.5gb|4
,|TRUE|csv|""""""|1.18gb|4
,|TRUE|csv|""""""|2.09gb|4
,|TRUE|csv|""""""|2.15gb|4
,|TRUE|csv|""""""|2.86gb|4
,|TRUE|csv|""""""|1.87gb|4
,|TRUE|csv|""""""|11.76gb|4
,|TRUE|csv|""""""|7.65gb|4
,|TRUE|csv|""""""|475.3mb|TRUE
,|TRUE|csv|""""""|471.3mb|TRUE
,|TRUE|csv|""""""|366.8mb|TRUE
,|TRUE|csv|""""""|677.7mb|TRUE
,|FALSE|csv|""""""|884.6mb|TRUE
,|FALSE|csv|""""""|131.8mb|TRUE
,|FALSE|csv|""""""|727mb|TRUE
;|FALSE|csv|""""""|124.6mb|TRUE
;|FALSE|csv|""""""|398.9mb|TRUE
,|TRUE|csv|""""""|501.3mb|TRUE
,|FALSE|csv|""""""|687.1mb|TRUE
,|FALSE|null|""""""|267.6mb|TRUE
,|TRUE|null|""""""|913.8mb|TRUE
,|FALSE|null|""""""|405mb|TRUE
,|TRUE|null|""""""|487.6mb|TRUE
,|TRUE|null|""""""|416.4mb|TRUE
,|TRUE|null|""""""|292.4mb|TRUE
,|FALSE|null|""""""|698.9mb|TRUE
,|FALSE|null|""""""|730.2mb|TRUE
,|FALSE|null|""""""|202.7mb|TRUE
,|FALSE|null|""""""|191mb|TRUE
,|FALSE|null|""""""|924.9mb|TRUE
,|TRUE|null|""""""|239.6mb|TRUE
,|TRUE|null|""""""|914.7mb|TRUE
,|TRUE|null|""""""|171mb|TRUE
,|TRUE|null|""""""|413.1mb|TRUE
,|TRUE|null|""""""|125.4mb|TRUE
;|TRUE|null|""""""|972.3mb|TRUE
,|TRUE|null|""""""|298.6mb|TRUE
,|FALSE|null|""""""|255.3mb|TRUE
,|FALSE|null|""""""|419.5mb|TRUE
,|TRUE|null|""""""|217.9mb|TRUE
,|FALSE|null|""""""|643.4mb|TRUE
\t|FALSE|null|""""""|216.8mb|TRUE
,|FALSE|null|""""""|455.6mb|TRUE
,|FALSE|null|""""""|127.3mb|TRUE
,|FALSE|null|""""""|109.8mb|TRUE
,|FALSE|null|""""""|134.4mb|TRUE
,|FALSE|null|""""""|201.1mb|TRUE
