000000001|null|570 SOUTH FOURTH STREET NO 100|LOUISVILLE|KY|40202-2504|1736|03|9|7100|196505|1|10|325902160|5|01|201506|0|0|01|0|06|0|0|0|null|VOAKY HOPEFUL ROAD INC
000003154|null|1706 GREENLEAF DR|NORFOLK|VA|23523-2112|0000|03|3|1200|201409|1|15|000000000|1|01|null|0|0|02|0|06|null|null|null|S20|null
002120849|null|LOCAL|DONALDSON|IN|46513-0000|0928|03|9|1270|194603|1|10|150120000|5|01|null|0|0|06|0|12|null|null|null|null|null
010036381|% BILLIENITA CARDONA|15623 S CENTERLINE RD|RUDYARD|MI|49780-9349|0557|04|9|3000|194206|1|00|908279265|5|01|201506|0|0|02|0|06|0|0|0|null|93 STRAITS
010060379|null|201 E PATRICK ST UNIT 249|FREDERICK|MD|21705-7511|0000|03|3|7000|201407|1|10|000000000|5|01|null|0|0|06|0|12|null|null|null|X20|null
010123106|null|3204 BROTHERS PL SE|WASHINGTON|DC|20032-1501|1961|03|9|7000|196811|1|10|029000000|5|01|null|0|0|06|0|12|null|null|null|null|null
010158948|% NATIONAL HEADQUARTERS|695 PRO-MED LN STE 300|CARMEL|IN|46032-5331|0594|07|6|1000|194301|2|00|036000000|1|01|201605|7|7|01|0|05|8727444|5970326|4646379|null|null
010202445|% BEUCLER KELLY & IRWIN|125 STRAFFORD AVE|WAYNE|PA|19087-3318|0000|07|3|1000|199603|2|00|280000000|1|01|201612|6|5|01|0|12|3292555|737505|409228|null|null
010319131|% MARK P DEL MASTRO|3 BAINBRIDGE DR|CHARLESTON|SC|29407-4213|0000|03|3|1000|199906|1|16|059000000|1|01|201608|6|4|01|0|08|1246641|172002|166099|O20|null
010356732|null|4075 IRON WORKS PKWY|LEXINGTON|KY|40511-8483|0000|03|3|1000|197808|1|15|149060000|1|01|201512|6|3|01|0|12|1233849|52186|49895|A540|AT THE KENTUCKY HORSE PARK
010361934|null|6409 83RD ST|CABIN JOHN|MD|20818-1621|0000|03|3|1000|197912|1|15|121125149|1|01|201612|0|0|02|0|12|0|0|0|Q220|null
010365191|% DONALD WILSON|8990 BURKE LAKE RD 2ND FLR|BURKE|VA|22015-1606|0000|06|3|2000|197910|2|00|200000000|5|01|201512|6|6|01|0|12|2747284|2862296|2262296|null|null
010366094|% KEY TRUST CO|4900 TIEDEMAN RD|BROOKLYN|OH|44144-2338|0000|91|3|1000|197012|0|00|909000000|2|12|201604|4|1|02|0|04|165284|4522|4522|null|BROOKS CONGREGATIONAL CHURCH
010371074|% BRETT EBERLE|1111 NORTH FAIRFAX STREET|ALEXANDRIA|VA|22314-1484|0000|06|3|1000|199001|2|00|205000000|1|01|201612|0|0|02|0|12|0|0|0|null|null
010372129|null|PO BOX 5443|MADISON|WI|53705-0443|0000|03|3|2000|199006|1|16|351000000|1|01|201512|4|4|01|0|12|206243|447068|447068|C033|null
010414466|% NANCY S LENHART|8223 BRECKSVILLE RD STE 100|BRECKSVILLE|OH|44141-1361|0000|03|3|1000|198806|1|04|350000000|1|01|201612|3|3|00|1|12|64556|30000|null|null|null
010429481|% NANCY ANGLADA|826 OLD STATE RD|BERWYN|PA|19312-1443|0000|07|3|1000|199202|2|00|319317318|1|01|201612|0|0|02|0|12|0|0|0|null|null
010441158|% KEYBANK NATL ASSOC|4900 TIEDEMAN RD|BROOKLYN|OH|44144-2338|0000|03|3|1000|198902|1|04|040000000|2|01|201607|6|4|00|1|07|1141952|392338|null|null|null
010442447|% RISK MANAGEMENT SECTION|547 SOUTH 7TH STREET SUITE 184|BISMARCK|ND|58504-5859|0000|03|3|1000|199901|1|16|998000000|5|01|201612|4|4|01|0|12|321922|236009|236009|W03|null
010458446|null|26 S VINE ST|COLUMBIANA|OH|44408-0000|9222|10|9|1000|198909|2|00|260560000|5|01|201512|4|3|02|0|12|197527|38511|38511|null|null
010466768|null|910 17TH ST NW STE 1100|WASHINGTON|DC|20006-2619|0000|03|3|2000|199209|1|11|030000000|1|01|201606|8|6|01|0|06|29851000|1886000|1886000|Q300|null
