57264|9|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|10|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|11|NEAL CONAN, host
57264|12|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|13|NEAL CONAN, host
57264|14|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|15|NEAL CONAN, host
57264|16|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|17|NEAL CONAN, host
57264|18|JOHN (Caller)
57264|19|NEAL CONAN, host
57264|20|JOHN (Caller)
57264|21|NEAL CONAN, host
57264|22|JOHN (Caller)
57264|23|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|24|NEAL CONAN, host
57264|25|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|26|NEAL CONAN, host
57264|27|JOHN (Caller)
57264|28|NEAL CONAN, host
57264|29|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|30|NEAL CONAN, host
57264|31|MARSHALL (Caller)
57264|32|NEAL CONAN, host
57264|33|MARSHALL (Caller)
57264|34|NEAL CONAN, host
57264|35|MARSHALL (Caller)
57264|36|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|37|MARSHALL (Caller)
57264|38|NEAL CONAN, host
57264|39|MARSHALL (Caller)
57264|40|NEAL CONAN, host
57264|41|MARSHALL (Caller)
57264|42|NEAL CONAN, host
57264|43|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|44|NEAL CONAN, host
57264|45|RICK (Caller)
57264|46|NEAL CONAN, host
57264|47|RICK (Caller)
57264|48|RICK (Caller)
57264|49|RICK (Caller)
57264|50|NEAL CONAN, host
57264|51|RICK (Caller)
57264|52|NEAL CONAN, host
57264|53|RICK (Caller)
57264|54|NEAL CONAN, host
57264|55|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|56|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|57|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|58|NEAL CONAN, host
57264|59|RICK (Caller)
57264|60|NEAL CONAN, host
57264|61|NEAL CONAN, host
57264|62|NEAL CONAN, host
57264|63|NEAL CONAN, host
57264|64|STERLING (Caller)
57264|65|NEAL CONAN, host
57264|66|STERLING (Caller)
57264|67|STERLING (Caller)
57264|68|STERLING (Caller)
57264|69|NEAL CONAN, host
57264|70|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|71|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|72|NEAL CONAN, host
57264|73|STERLING (Caller)
57264|74|NEAL CONAN, host
57264|75|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|76|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|77|NEAL CONAN, host
57264|78|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)
57264|79|NEAL CONAN, host
57264|80|NEAL CONAN, host
58225|1|NEAL CONAN, host
58225|2|NEAL CONAN, host
58225|3|NEAL CONAN, host
58225|4|NEAL CONAN, host
58225|5|NEAL CONAN, host
58225|6|NEAL CONAN, host
58225|7|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|8|NEAL CONAN, host
58225|9|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|10|NEAL CONAN, host
58225|11|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|12|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|13|NEAL CONAN, host
58225|14|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|15|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
58225|41|Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)
75004|1|LIANE HANSEN, host
75004|2|JON HAMILTON
75004|3|Mr. ALEXIS FERNANDEZ (History Teacher)
75004|4|JON HAMILTON
75004|5|Mr. ALEXIS FERNANDEZ (History Teacher)
75004|6|JON HAMILTON
75004|7|_NO_SPEAKER
75004|8|JON HAMILTON
75004|9|Dr. GERRY BELL (Meteorologist, National Oceanic and Atmospheric Administration)
75004|10|JON HAMILTON
75004|11|Dr. GERRY BELL (Meteorologist, National Oceanic and Atmospheric Administration)
75004|12|JON HAMILTON
74884|1|SCOTT SIMON, host
74884|2|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|3|SCOTT SIMON, host
74884|4|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|5|SCOTT SIMON, host
74884|6|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|7|SCOTT SIMON, host
74884|8|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|9|SCOTT SIMON, host
74884|10|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|11|SCOTT SIMON, host
63416|18|XENI JARDIN
63416|19|Ms. ROBIN SCHAFFER (NICE Systems)
63416|20|XENI JARDIN
63416|21|XENI JARDIN
63416|22|Mr. PHIL TSCHUDY (CUNA Mutual)
63416|23|Mr. PHIL TSCHUDY (CUNA Mutual)
63416|24|XENI JARDIN
63416|25|_NO_SPEAKER
68175|0|IRA FLATOW, host
68175|1|IRA FLATOW, host
68175|2|IRA FLATOW, host
68175|3|IRA FLATOW, host
68175|4|IRA FLATOW, host
68175|5|Dr. JEFF SILVERTOOTH (Professor and Head, Plant Scientist Department, University of Arizona, Tucson)
68175|6|IRA FLATOW, host
68175|7|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|8|IRA FLATOW, host
68175|9|IRA FLATOW, host
68175|10|"Dr. GARY NABHAN (Researcher Social Scientist, University of Arizona; Author, ""Why Some Like it Hot:  Food, Genes, and Cultural Diversity"")"
68175|11|IRA FLATOW, host
68175|12|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|13|IRA FLATOW, host
68175|14|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|15|IRA FLATOW, host
68175|16|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|17|IRA FLATOW, host
68175|18|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|19|IRA FLATOW, host
68175|20|Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)
68175|21|IRA FLATOW, host
67560|19|MARY LOUISE KELLY, HOST
67560|20|MARY LOUISE KELLY, HOST
67560|21|ARI SHAPIRO, HOST
67560|22|_NO_SPEAKER
67560|23|ARI SHAPIRO, HOST
67560|24|ARI SHAPIRO, HOST
67560|25|MARY LOUISE KELLY, HOST
67560|26|ARI SHAPIRO, HOST
67560|27|MARY LOUISE KELLY, HOST
67560|28|ARI SHAPIRO, HOST
67560|29|_NO_SPEAKER
67560|30|ARI SHAPIRO, HOST
67560|31|MARY LOUISE KELLY, HOST
67560|32|ARI SHAPIRO, HOST
67560|33|_NO_SPEAKER
67560|34|ARI SHAPIRO, HOST
67560|35|ARI SHAPIRO, HOST
67560|36|MARY LOUISE KELLY, HOST
67560|37|ARI SHAPIRO, HOST
67560|38|MARY LOUISE KELLY, HOST
67560|39|_NO_SPEAKER
68670|1|KELLY MCEVERS, HOST
68670|2|KELLY MCEVERS, HOST
68670|3|MARA LIASSON, BYLINE
68670|4|KELLY MCEVERS, HOST
68670|5|MARA LIASSON, BYLINE
68670|6|MARA LIASSON, BYLINE
68670|7|KELLY MCEVERS, HOST
68670|8|MARA LIASSON, BYLINE
68670|9|MARA LIASSON, BYLINE
68670|10|KELLY MCEVERS, HOST
68670|11|MARA LIASSON, BYLINE
68670|12|_NO_SPEAKER
68670|13|SARAH HUCKABEE SANDERS
68670|14|MARA LIASSON, BYLINE
68670|15|KELLY MCEVERS, HOST
68670|16|MARA LIASSON, BYLINE
70039|34|NEAL CONAN, host
74884|12|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|13|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
74884|14|SCOTT SIMON, host
74884|15|Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)
75394|1|MADELEINE BRAND, host
75394|2|MADELEINE BRAND, host
75394|3|MADELEINE BRAND, host
