1237777021742338050|2020-03-11 19:26:53|50467|55743|0|0|0|null|null|World Health Organization (WHO)|14499829|2008-04-23 22:56:27|null|null|48639|5896245|1715|10510
1237721991471382530|2020-03-11 15:48:13|31498|27464|0|0|0|null|null|World Health Organization (WHO)|14499829|2008-04-23 22:56:27|null|null|48639|5896245|1715|10510
1237562508258340860|2020-03-11 05:14:29|36442|15453|0|0|0|null|null|Julie O'Donoghue|355574901|2011-08-15 18:32:00|null|null|60962|10677|1347|15047
1238146877314473980|2020-03-12 19:56:33|0|310|0|0|1|sigridbazan|null|Lucía M. Y|993938049091424260|2018-05-08 22:37:52|null|null|72|7|155|34
1238146877293498370|2020-03-12 19:56:33|0|398|0|0|1|Conflits_FR|null|SON OF WUNNA 24|757696126808158210|2016-07-26 00:56:48|null|null|58739|258|161|35269
1238146876970434560|2020-03-12 19:56:33|0|80|0|0|1|WarsontheBrink|null|WomenForSurvival🌵|2750105810|2014-08-20 22:28:28|null|null|311621|12580|13717|54853
1238146876668628990|2020-03-12 19:56:33|0|126|0|0|1|francescatotolo|null|Jack camposasco|1028316048766980100|2018-08-11 19:23:45|null|null|4845|156|300|7807
1238146876546957310|2020-03-12 19:56:33|0|6|0|0|1|enriquezabala68|null|laura noemì azcona|263552210|2011-03-10 09:49:31|null|null|64661|682|179|170194
1238146876538605570|2020-03-12 19:56:33|0|3|0|0|1|MARTIN77798912|null|❄Maalek❄|939808001833295870|2017-12-10 13:44:23|null|null|27468|3313|3312|34878
1238146876479856640|2020-03-12 19:56:33|0|3|0|0|1|SenatoStampa|null|TIGNARD YANIS|936264482585743360|2017-11-30 19:03:42|null|null|28795|610|3265|79
1238146876353867780|2020-03-12 19:56:33|0|114|0|0|1|ANI|null|Sharad Shah|2848664238|2014-10-09 13:49:51|null|null|108766|682|469|1068
1238146876274282500|2020-03-12 19:56:33|0|2934|0|0|1|Covid19_Time|null|christian garcia|1656099956|2013-08-08 22:58:53|null|null|832|40|143|447
1238146876139917310|2020-03-12 19:56:33|0|16|0|0|1|muhammetkork132|null|Deniz Güler|1138230148875132930|2019-06-11 02:43:09|null|null|1889|2|247|4
1238146875779354620|2020-03-12 19:56:33|0|0|0|0|0|null|null|Verdad2019|1186271820892266500|2019-10-21 16:23:55|null|null|4779|175|310|3208
1238146875720597500|2020-03-12 19:56:33|0|119|0|0|1|eluniversocom|null|Xavier León M.|343498224|2011-07-27 20:25:10|null|null|7648|113|217|133
1238146875661959170|2020-03-12 19:56:33|0|31|0|0|1|EFEnoticias|null|Noticosta|289153555|2011-04-28 06:35:52|null|null|28441|3872|4002|3892
1238146875569639420|2020-03-12 19:56:33|0|0|0|0|0|null|null|Ohio Senate Dems 🇺🇸 Campaign Team|2393484560|2014-03-17 02:38:52|null|null|2101|2357|593|1533
